timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s
1625189163,0.6,64275.6,4339.7,36824.7,1.2,1.8
1625189164,0.4,64275.6,4339.7,36824.7,0.4,0.6
1625189165,0.9,64275.6,4339.7,36824.9,0.4,0.6
1625189166,0.1,64275.6,4339.7,36824.9,0.5,0.6
1625189167,0.2,64275.6,4339.7,36824.7,0.3,0.7
1625189168,0.2,64275.6,4339.7,36824.7,1.8,8.4
1625189169,0.4,64275.6,4339.7,36824.7,5.6,96.6
1625189170,1.4,64275.6,4339.7,36929.2,1.0,1.9
1625189171,3.1,64275.6,4340.0,36831.3,0.1,0.0
1625189172,5.3,64275.6,4340.0,36950.4,0.2,0.0
1625189173,20.7,64275.6,4340.0,37040.4,1.4,0.0
1625189174,24.3,64275.6,4340.0,37143.1,1.8,0.0
1625189175,17.7,64275.6,4340.0,37459.4,4.7,0.0
1625189176,7.9,64275.6,4340.0,37463.7,0.9,0.0
1625189177,0.5,64275.6,4340.0,37463.6,0.3,0.0
1625189178,0.2,64275.6,4340.0,37463.7,0.0,0.0
1625189179,0.2,64275.6,4340.0,37463.7,0.0,0.0
1625189180,0.2,64275.6,4340.0,37463.6,0.0,0.0
1625189181,0.2,64275.6,4340.0,37463.6,0.0,0.0
1625189182,1.4,64275.6,4340.1,37463.2,0.0,0.0
1625189183,0.2,64275.6,4340.1,37463.7,0.0,0.0
1625189184,0.6,64275.6,4340.1,37463.7,0.0,0.0
1625189185,1.2,64275.6,4340.1,37464.5,0.0,0.0
1625189186,1.9,64275.6,4340.1,37470.1,0.8,0.0
1625189187,0.2,64275.6,4340.1,37470.5,0.0,0.0
1625189188,1.0,64275.6,4340.1,37473.5,0.3,0.0
1625189189,0.4,64275.6,4340.1,37497.5,0.0,0.0
1625189190,0.2,64275.6,4340.1,37498.2,0.0,0.0
1625189191,0.2,64275.6,4340.1,37472.0,0.0,0.0
1625189192,1.1,64275.6,4340.1,37467.8,0.0,0.0
1625189193,0.7,64275.6,4340.1,37467.8,0.0,0.0
1625189194,0.2,64275.6,4340.1,37467.8,0.0,0.0
1625189195,8.0,64275.6,4340.1,37489.6,9824.4,0.0
1625189196,11.9,64275.6,4340.1,37538.7,12965.4,0.0
1625189197,1.9,64275.6,4340.1,37536.6,12850.7,0.0
1625189198,1.4,64275.6,4340.1,37547.7,12697.9,0.0
1625189199,1.3,64275.6,4340.1,37561.4,13295.4,0.0
1625189200,1.2,64275.6,4340.1,37574.7,14101.6,0.0
1625189201,0.8,64275.6,4340.1,37608.7,34726.0,0.0
1625189202,5.9,64275.6,4340.3,37763.2,20.8,0.0
1625189203,24.1,64275.6,4341.0,38097.3,78.7,0.0
1625189204,22.9,64275.6,4341.1,38127.9,0.0,0.0
1625189205,41.4,64275.6,4341.1,38239.6,0.0,0.0
1625189206,22.5,64275.6,4341.1,38265.7,16391.9,0.0
1625189207,21.7,64275.6,4341.1,38446.5,855.9,0.0
1625189208,5.4,64275.6,4341.1,38773.0,15439.9,0.0
1625189209,5.8,64275.6,4341.1,38885.4,16436.3,0.0
1625189210,3.7,64275.6,4341.1,38888.0,11932.9,0.0
1625189211,3.8,64275.6,4341.1,38887.5,6397.8,0.0
1625189212,12.4,64275.6,4341.1,38906.6,9098.1,0.0
1625189213,0.3,64275.6,4341.1,38907.3,12245.5,0.0
1625189214,7.6,64275.6,4341.1,38916.1,4184.1,0.0
